Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1967-01,8.15,9.1,2.27,0.96,-3.16,0.43,-6.93,6.8122,-2.9263,1.8813,-2.5511
1967-02,0.78,3.06,-2.22,1.99,-0.99,0.36,3.52,1.6235,-0.2915,3.5399,2.1792
1967-03,3.99,1.87,0.37,0.86,-1.6,0.39,1.53,1.9836,-1.6772,1.8417,-1.1192
1967-04,3.89,0.43,-2.48,2.33,-3.67,0.32,0.59,-0.67,-2.8972,1.0253,-1.6371
1967-05,-4.33,2.29,1.09,-1.73,1.73,0.33,0.72,2.7366,2.1864,0.6038,0.1191
1967-06,2.41,6.43,0.85,-0.62,-2.42,0.27,6.0,6.2752,-2.0958,0.4116,-0.2834
1967-07,4.58,3.54,2.73,0.48,2.7,0.31,-1.07,3.1053,2.3351,-0.5943,-0.1601
1967-08,-0.89,0.72,1.44,0.3,1.45,0.31,-1.38,0.3722,1.9161,-0.6134,0.063
1967-09,3.11,2.44,-2.5,0.2,-0.95,0.32,2.52,1.8017,-0.4057,0.7524,-0.9213
1967-10,-3.09,0.53,-3.3,1.01,-2.62,0.39,3.67,0.749,-2.4302,3.2851,0.224
1967-11,0.37,-0.04,-1.7,1.34,-2.34,0.36,1.26,-0.0333,-2.7632,0.6936,0.0395
1967-12,3.05,5.75,-0.53,-0.81,0.13,0.33,3.25,4.5015,0.1486,0.7001,1.7035
1968-01,-4.06,4.51,4.8,-4.62,6.46,0.4,-4.7,5.1731,4.732,-2.922,0.9691
1968-02,-3.75,-2.91,1.28,-0.16,2.45,0.39,-3.43,-1.8884,2.4577,-0.5038,2.9672
1968-03,0.2,-1.59,-0.59,1.05,-1.1,0.38,3.23,-1.951,-0.7337,1.9245,1.4344
1968-04,9.05,6.18,-1.13,2.69,-3.65,0.43,5.09,5.4582,-2.6749,3.6776,-1.8747
1968-05,2.28,7.0,0.85,0.43,-1.92,0.45,3.8,6.7203,-2.2351,2.0131,-0.2809
1968-06,0.69,-0.28,0.73,-1.41,2.76,0.43,-1.9,-0.4046,2.4165,-0.3072,0.0598
1968-07,-2.72,-1.41,5.39,-3.13,3.72,0.48,-0.88,-1.1928,2.7389,-1.9663,3.6103
1968-08,1.34,2.27,1.01,-0.7,0.48,0.42,1.89,2.1751,0.643,-0.6662,1.5939
