Year,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5
1994,0.000697940869539338,0.000712091068236083,0.0007792795271104205,0.0009058944567808499,0.0010975339499367362
1995,0.0006017493746248733,0.0006652373589097336,0.000795099752932571,0.0009914206350882739,0.0012592762723607894
1996,0.0009931168288384966,0.0010673010016794052,0.0012361707788519484,0.0015047929050647894,0.001890813113222784
1997,0.0017143447285631803,0.0017884121144079396,0.0020234115573700383,0.0024103586304628074,0.002966413121465743
1998,0.002765915422072119,0.003076176652453333,0.0036093641806933426,0.004339707983541179,0.005290283796606882
1999,0.0016173418318983508,0.0016962385452744277,0.0018841922998983393,0.0021683713501481246,0.002562694512678539
2000,0.0020970247799426494,0.0022336533807602835,0.00267931052306521,0.003445166221319227,0.004563879944121063
2001,0.0021824499593817285,0.0021979898033309196,0.0023013816720292577,0.0024944699439987303,0.0027619079603405754
2002,0.0036213341406837697,0.0036277816282548085,0.0036333277278211874,0.0036419768091495767,0.003664320182233561
2003,0.0026894750331589836,0.0027093534296566994,0.002820642377513691,0.0030326457932631154,0.003332725477623455
2004,0.0019826519605315005,0.0019844669952791614,0.002021969098366386,0.0021079451406378004,0.0022423951218457235
2005,0.001875342291016272,0.001968364177116643,0.002236031912276474,0.0026812272311010784,0.0033047658820740435
2006,0.0015883847311349813,0.0016204084591490365,0.001732544473677276,0.0019542706723501475,0.0022967444069056852
2007,0.0025134805539414316,0.0025432171626176194,0.002736739786219459,0.003119444986236006,0.003635544890604803
2008,102703.61774638828,102703.61774638804,102703.61774638802,102703.61774638802,102703.61774638802
2009,0.007831727982880891,0.0078827895086423,0.008036408843583349,0.008352278175554008,0.008841887594303823
2010,0.005542029886544613,0.005881859243807177,0.0064119318920888195,0.007178584904724412,0.008152687541543732
2011,0.008455343162987891,0.008485118189005152,0.008982579193476645,0.010287387920489393,0.012342002615660912
2012,0.0034207562938909433,0.003538834785836208,0.003888275459542446,0.004437159293567388,0.005177861731719791
2013,0.0009006009222385354,0.0009149988558660508,0.0009807008372626133,0.0011000270976092485,0.0012752289247965156
2014,0.002603936242967903,0.002625460135114266,0.0027726424588399206,0.003014881785673297,0.0033298939869369285
2015,0.004868282258144449,0.0049163124329028775,0.0051059829276763145,0.005496505162897847,0.006063312307228306
2016,0.005149710127402962,0.0054314872141142025,0.0059618700331792885,0.00672405507361406,0.007699649461942952
2017,0.0013262483997070098,0.0013582404000185588,0.0015106333683725275,0.0017933678544590648,0.0022157356321790517
2018,0.004529149828880068,0.004529149828880071,0.004557370264763375,0.004657110021158776,0.004813673944088033
2019,0.0024402419557754346,0.0027510137879473134,0.003221001485116401,0.0038693770406673673,0.004701898595223785
2020,0.04428134290550177,0.04440225261238419,0.04775454101639906,0.055702923544566026,0.06825748282168453
2021,0.0038041053326300094,0.004062785284021987,0.004478171123404551,0.00506327168131815,0.005827486381181059
2022,0.010044973522400276,0.010054902840330268,0.01006423685467599,0.010199020981094438,0.010930910759616998
2023,0.004781770451797476,0.004829776105044541,0.005251760597198803,0.005985999320592528,0.007063237569598402
